乏善足陈	乏善足陈 特にお知らせするほどのよいことはない
婆娘	婆娘 既婚の若い女性 妻
头饰	头饰 髪飾り
危房	危房 老朽家屋 傾きかけた家屋
开金	开金 金を含む合金
卫生香	卫生香 におい消しの線香
下乘	下乘 下等 低級
网络	网络 網状のもの 交錯し枝分かれしたたくさんの部分からなるシステム ネットワーク 回路網 ネットワーク
奇特	奇特 珍しい 奇異である 突飛である
专家门诊	专家门诊 専門医による診察診療
庄稼活儿	庄稼活儿 農作業 畑仕事
基	基 基 土台 基礎 もととなる はじめの 基本的な 基
头疼脑热	头疼脑热 ちょっとした病気 軽い風邪
侯爵	侯爵 侯爵
如其	如其 もしも
导电	导电 電気を通す 電気伝導
拟定	拟定 制定する 推定する 推測によって断定する
府库	府库 政府が文書や財物を貯蔵する所
嘎啦	嘎啦 がらがら
内景	内景 セット 室内光景の舞台装置
不多一点儿	不多一点儿 ほんの少しばかり ちょっぴり
印度	印度 インド
不切实际	不切实际 実際にそぐわない 現実離れしている
戕贼	戕贼 傷つける 損なう 傷害または損害を与える
放送	放送 流す
庙祝	庙祝 廟の灯明や線香を管理する人
挤提	挤提
中立国	中立国 中立国
专邮	专邮 特別郵便
厌弃	厌弃 愛想をつかす いやになる いやがる
暗中	暗中 暗がりの中 暗やみの中 陰で ひそかに こっそりと 秘密に
净脸儿	净脸儿 顔を洗って素顔になる 素顔
冷汗	冷汗 冷や汗
不哼不哈	不哼不哈 うんともすんとも言わない おし黙っている
八拜之交	八拜之交 義兄弟の契りを交わした間柄
将功补过	将功补过 手柄によって過ちや罪を償う
文体	文体 文体 文章のスタイル 文化娯楽と体育
夸大	夸大 誇張する 大げさに言う
咳声叹气	咳声叹气 しきりにため息をつく
伤众	伤众 多くの人の感情を傷つける
寿对儿	寿对儿
卧鱼	卧鱼
头屑	头屑 ふけ
拉家常	拉家常 世間話をする 雑談する
印	印 公印,印章 判 足跡 跡を残す しるしを付ける 印刷する プリントする ぴったり合う 符合する
嗔	嗔 怒る 腹を立てる 非難する 機嫌を悪くする 不満をもつ
怒放	怒放 満開になる すっかり開く
商品生产	商品生产 商品生産
县令	县令 県知事
一碗水端平	一碗水端平 えこひいきせずに公平に扱う
同工异曲	同工异曲
喜面	喜面 祝いの時に食べるめん類
拉话	拉话 話をする 雑談する
文选	文选 文章の選集 アンソロジー
信赏必罚	信赏必罚 罪のある者は必ず罰する 賞罰が厳正である 信賞必罰
废址	废址 旧址
冲锋	冲锋 突撃する
只得	只得 …するほかない …せざるを得ない
不通气儿	不通气儿 ふさがる 道理がわからない 連絡がない 気脈が通じない
失策	失策 失策 誤算 見込み違い 現在の中国では「勘違いによる失敗」「誤算」という軽い意味で用いる まちがった策略
希少	希少
发窘	发窘 困惑する 困る
喧笑	喧笑 高い声で話をしたり笑ったりする
广角镜头	广角镜头 広角レンズ
喜洋洋	喜洋洋 喜びにあふれた笑顔
吟哦	吟哦 吟詠する 詩歌を歌う
抽薹	抽薹 薹が立つ
呼吸道	呼吸道 呼吸道
喧宾夺主	喧宾夺主 主客転倒する
不在意	不在意 気にしない 気にかけない 無関心である
司马昭之心	司马昭之心 権力をねらう野心家の陰謀はだれでも知っている 魏帝曹髦が帝位をねらう大将軍司馬昭をののしって言った言葉
喜剧	喜剧 喜劇 コメディー 场
参半	参半 相半ばする 半数を占める
推度	推度 忖度する 推測する 推量する
小卖	小卖 一品料理 小規模な商売をする
冷食	冷食 冷たい食品 氷菓子
头羊	头羊 一群のヒツジの先頭を行くヒツジ
夸口	夸口 ほらを吹く 自慢する
反弹道导弹	反弹道导弹
……三……四	……三……四
夸脱	夸脱 クオート
抵免	抵免 納税を控除する
小商品	小商品 小さな金物類・文房具など値段が安い商品 日用雑貨
作俑	作俑 悪事に最初に手を下す 悪い先例をつくる
换肩	换肩 もう一方の肩に移しかえる
头痛	头痛 頭痛 頭が痛い 困る 悩まされる うんざりする
一表人才	一表人才 りっぱな容貌を持つひとかどの人物
双身子	双身子 妊婦
整流	整流 整流
一个巴掌拍不响	一个巴掌拍不响 一方だけではけんかができない
无聊	无聊 退屈である つまらない くだらない,ナンセンスである
只见	只见 ただ…だけを見る 見える ふと見ると…
拐点	拐点 ターニングポイント 転換点
呼唤	呼唤 呼びかける 叫ぶ
寿命	寿命 命 寿命 物の寿命 耐用期間
后灯	后灯 尾灯 テールランプ
忙人	忙人 多忙な人
捡了芝麻丢了西瓜	捡了芝麻丢了西瓜 ゴマを拾ってスイカを落とす 一文惜しみの百知らず
